BINARY.JPG OUTPUT: 

Run with one global histogram
0: h(5411)
1: h(653)
2: h(637)
3: h(600)
4: h(780)
5: h(655)
6: h(574)
7: h(632)
8: h(807)
9: h(608)
10: h(641)
11: h(661)
12: h(706)
13: h(617)
14: h(635)
15: h(563)
16: h(881)
17: h(753)
18: h(658)
19: h(615)
20: h(723)
21: h(690)
22: h(655)
23: h(617)
24: h(767)
25: h(585)
26: h(596)
27: h(583)
28: h(720)
29: h(555)
30: h(551)
31: h(537)
32: h(705)
33: h(762)
34: h(680)
35: h(740)
36: h(558)
37: h(724)
38: h(525)
39: h(605)
40: h(777)
41: h(582)
42: h(609)
43: h(635)
44: h(795)
45: h(611)
46: h(595)
47: h(591)
48: h(715)
49: h(681)
50: h(634)
51: h(537)
52: h(653)
53: h(506)
54: h(607)
55: h(479)
56: h(643)
57: h(588)
58: h(489)
59: h(517)
60: h(2007)
61: h(484)
62: h(575)
63: h(470)
64: h(564)
65: h(651)
66: h(725)
67: h(679)
68: h(716)
69: h(664)
70: h(697)
71: h(681)
72: h(527)
73: h(544)
74: h(634)
75: h(649)
76: h(593)
77: h(535)
78: h(599)
79: h(585)
80: h(687)
81: h(736)
82: h(554)
83: h(591)
84: h(569)
85: h(581)
86: h(609)
87: h(581)
88: h(633)
89: h(645)
90: h(567)
91: h(538)
92: h(575)
93: h(501)
94: h(485)
95: h(522)
96: h(645)
97: h(642)
98: h(706)
99: h(704)
100: h(622)
101: h(689)
102: h(598)
103: h(569)
104: h(601)
105: h(527)
106: h(513)
107: h(478)
108: h(635)
109: h(511)
110: h(481)
111: h(437)
112: h(647)
113: h(618)
114: h(589)
115: h(563)
116: h(519)
117: h(458)
118: h(531)
119: h(426)
120: h(526)
121: h(493)
122: h(439)
123: h(497)
124: h(544)
125: h(495)
126: h(493)
127: h(505)
128: h(528)
129: h(691)
130: h(710)
131: h(620)
132: h(658)
133: h(663)
134: h(654)
135: h(558)
136: h(794)
137: h(691)
138: h(648)
139: h(609)
140: h(689)
141: h(584)
142: h(597)
143: h(553)
144: h(558)
145: h(636)
146: h(618)
147: h(525)
148: h(595)
149: h(658)
150: h(680)
151: h(563)
152: h(644)
153: h(540)
154: h(496)
155: h(527)
156: h(615)
157: h(506)
158: h(465)
159: h(551)
160: h(543)
161: h(630)
162: h(758)
163: h(642)
164: h(473)
165: h(595)
166: h(544)
167: h(538)
168: h(651)
169: h(486)
170: h(523)
171: h(529)
172: h(576)
173: h(476)
174: h(515)
175: h(452)
176: h(682)
177: h(698)
178: h(693)
179: h(590)
180: h(573)
181: h(470)
182: h(597)
183: h(501)
184: h(622)
185: h(561)
186: h(469)
187: h(440)
188: h(473)
189: h(419)
190: h(467)
191: h(455)
192: h(628)
193: h(732)
194: h(577)
195: h(582)
196: h(834)
197: h(600)
198: h(616)
199: h(596)
200: h(702)
201: h(633)
202: h(646)
203: h(622)
204: h(636)
205: h(498)
206: h(525)
207: h(1903)
208: h(599)
209: h(586)
210: h(529)
211: h(544)
212: h(613)
213: h(451)
214: h(437)
215: h(391)
216: h(725)
217: h(575)
218: h(530)
219: h(493)
220: h(597)
221: h(393)
222: h(363)
223: h(386)
224: h(664)
225: h(507)
226: h(636)
227: h(481)
228: h(672)
229: h(517)
230: h(539)
231: h(453)
232: h(533)
233: h(448)
234: h(547)
235: h(333)
236: h(618)
237: h(425)
238: h(444)
239: h(299)
240: h(564)
241: h(550)
242: h(591)
243: h(1869)
244: h(478)
245: h(429)
246: h(548)
247: h(371)
248: h(559)
249: h(503)
250: h(484)
251: h(463)
252: h(559)
253: h(476)
254: h(495)
255: h(439)
Run with local histograms
0: h(5411)
1: h(653)
2: h(637)
3: h(600)
4: h(780)
5: h(655)
6: h(574)
7: h(632)
8: h(807)
9: h(608)
10: h(641)
11: h(661)
12: h(706)
13: h(617)
14: h(635)
15: h(563)
16: h(881)
17: h(753)
18: h(658)
19: h(615)
20: h(723)
21: h(690)
22: h(655)
23: h(617)
24: h(767)
25: h(585)
26: h(596)
27: h(583)
28: h(720)
29: h(555)
30: h(551)
31: h(537)
32: h(705)
33: h(762)
34: h(680)
35: h(740)
36: h(558)
37: h(724)
38: h(525)
39: h(605)
40: h(777)
41: h(582)
42: h(609)
43: h(635)
44: h(795)
45: h(611)
46: h(595)
47: h(591)
48: h(715)
49: h(681)
50: h(634)
51: h(537)
52: h(653)
53: h(506)
54: h(607)
55: h(479)
56: h(643)
57: h(588)
58: h(489)
59: h(517)
60: h(2007)
61: h(484)
62: h(575)
63: h(470)
64: h(564)
65: h(651)
66: h(725)
67: h(679)
68: h(716)
69: h(664)
70: h(697)
71: h(681)
72: h(527)
73: h(544)
74: h(634)
75: h(649)
76: h(593)
77: h(535)
78: h(599)
79: h(585)
80: h(687)
81: h(736)
82: h(554)
83: h(591)
84: h(569)
85: h(581)
86: h(609)
87: h(581)
88: h(633)
89: h(645)
90: h(567)
91: h(538)
92: h(575)
93: h(501)
94: h(485)
95: h(522)
96: h(645)
97: h(642)
98: h(706)
99: h(704)
100: h(622)
101: h(689)
102: h(598)
103: h(569)
104: h(601)
105: h(527)
106: h(513)
107: h(478)
108: h(635)
109: h(511)
110: h(481)
111: h(437)
112: h(647)
113: h(618)
114: h(589)
115: h(563)
116: h(519)
117: h(458)
118: h(531)
119: h(426)
120: h(526)
121: h(493)
122: h(439)
123: h(497)
124: h(544)
125: h(495)
126: h(493)
127: h(505)
128: h(528)
129: h(691)
130: h(710)
131: h(620)
132: h(658)
133: h(663)
134: h(654)
135: h(558)
136: h(794)
137: h(691)
138: h(648)
139: h(609)
140: h(689)
141: h(584)
142: h(597)
143: h(553)
144: h(558)
145: h(636)
146: h(618)
147: h(525)
148: h(595)
149: h(658)
150: h(680)
151: h(563)
152: h(644)
153: h(540)
154: h(496)
155: h(527)
156: h(615)
157: h(506)
158: h(465)
159: h(551)
160: h(543)
161: h(630)
162: h(758)
163: h(642)
164: h(473)
165: h(595)
166: h(544)
167: h(538)
168: h(651)
169: h(486)
170: h(523)
171: h(529)
172: h(576)
173: h(476)
174: h(515)
175: h(452)
176: h(682)
177: h(698)
178: h(693)
179: h(590)
180: h(573)
181: h(470)
182: h(597)
183: h(501)
184: h(622)
185: h(561)
186: h(469)
187: h(440)
188: h(473)
189: h(419)
190: h(467)
191: h(455)
192: h(628)
193: h(732)
194: h(577)
195: h(582)
196: h(834)
197: h(600)
198: h(616)
199: h(596)
200: h(702)
201: h(633)
202: h(646)
203: h(622)
204: h(636)
205: h(498)
206: h(525)
207: h(1903)
208: h(599)
209: h(586)
210: h(529)
211: h(544)
212: h(613)
213: h(451)
214: h(437)
215: h(391)
216: h(725)
217: h(575)
218: h(530)
219: h(493)
220: h(597)
221: h(393)
222: h(363)
223: h(386)
224: h(664)
225: h(507)
226: h(636)
227: h(481)
228: h(672)
229: h(517)
230: h(539)
231: h(453)
232: h(533)
233: h(448)
234: h(547)
235: h(333)
236: h(618)
237: h(425)
238: h(444)
239: h(299)
240: h(564)
241: h(550)
242: h(591)
243: h(1869)
244: h(478)
245: h(429)
246: h(548)
247: h(371)
248: h(559)
249: h(503)
250: h(484)
251: h(463)
252: h(559)
253: h(476)
254: h(495)
255: h(439)

H:\Documents\CS420\CS420Lab02Sadat\x64\Debug\CS420Lab02Sadat.exe (process 29940) exited with code 0.
Press any key to close this window . . .
