TEXT.TXT OUTPUT: 

Run with one global histogram
0: h(0)
1: h(0)
2: h(0)
3: h(0)
4: h(0)
5: h(0)
6: h(0)
7: h(0)
8: h(0)
9: h(0)
10: h(29)
11: h(0)
12: h(0)
13: h(29)
14: h(0)
15: h(0)
16: h(0)
17: h(0)
18: h(0)
19: h(0)
20: h(0)
21: h(0)
22: h(0)
23: h(0)
24: h(0)
25: h(0)
26: h(0)
27: h(0)
28: h(0)
29: h(0)
30: h(0)
31: h(0)
32: h(0)
33: h(0)
34: h(0)
35: h(0)
36: h(0)
37: h(0)
38: h(0)
39: h(0)
40: h(0)
41: h(0)
42: h(0)
43: h(0)
44: h(0)
45: h(0)
46: h(0)
47: h(0)
48: h(29)
49: h(13)
50: h(11)
51: h(3)
52: h(3)
53: h(7)
54: h(2)
55: h(2)
56: h(2)
57: h(2)
58: h(0)
59: h(0)
60: h(0)
61: h(0)
62: h(0)
63: h(0)
64: h(0)
65: h(0)
66: h(0)
67: h(0)
68: h(0)
69: h(0)
70: h(0)
71: h(0)
72: h(0)
73: h(0)
74: h(0)
75: h(0)
76: h(0)
77: h(0)
78: h(0)
79: h(0)
80: h(0)
81: h(0)
82: h(0)
83: h(0)
84: h(0)
85: h(0)
86: h(0)
87: h(0)
88: h(0)
89: h(0)
90: h(0)
91: h(0)
92: h(0)
93: h(0)
94: h(0)
95: h(0)
96: h(0)
97: h(0)
98: h(0)
99: h(0)
100: h(0)
101: h(0)
102: h(0)
103: h(0)
104: h(0)
105: h(0)
106: h(0)
107: h(0)
108: h(0)
109: h(0)
110: h(0)
111: h(0)
112: h(0)
113: h(0)
114: h(0)
115: h(0)
116: h(0)
117: h(0)
118: h(0)
119: h(0)
120: h(0)
121: h(0)
122: h(0)
123: h(0)
124: h(0)
125: h(0)
126: h(0)
127: h(0)
128: h(0)
129: h(0)
130: h(0)
131: h(0)
132: h(0)
133: h(0)
134: h(0)
135: h(0)
136: h(0)
137: h(0)
138: h(0)
139: h(0)
140: h(0)
141: h(0)
142: h(0)
143: h(0)
144: h(0)
145: h(0)
146: h(0)
147: h(0)
148: h(0)
149: h(0)
150: h(0)
151: h(0)
152: h(0)
153: h(0)
154: h(0)
155: h(0)
156: h(0)
157: h(0)
158: h(0)
159: h(0)
160: h(0)
161: h(0)
162: h(0)
163: h(0)
164: h(0)
165: h(0)
166: h(0)
167: h(0)
168: h(0)
169: h(0)
170: h(0)
171: h(0)
172: h(0)
173: h(0)
174: h(0)
175: h(0)
176: h(0)
177: h(0)
178: h(0)
179: h(0)
180: h(0)
181: h(0)
182: h(0)
183: h(0)
184: h(0)
185: h(0)
186: h(0)
187: h(0)
188: h(0)
189: h(0)
190: h(0)
191: h(0)
192: h(0)
193: h(0)
194: h(0)
195: h(0)
196: h(0)
197: h(0)
198: h(0)
199: h(0)
200: h(0)
201: h(0)
202: h(0)
203: h(0)
204: h(0)
205: h(0)
206: h(0)
207: h(0)
208: h(0)
209: h(0)
210: h(0)
211: h(0)
212: h(0)
213: h(0)
214: h(0)
215: h(0)
216: h(0)
217: h(0)
218: h(0)
219: h(0)
220: h(0)
221: h(0)
222: h(0)
223: h(0)
224: h(0)
225: h(0)
226: h(0)
227: h(0)
228: h(0)
229: h(0)
230: h(0)
231: h(0)
232: h(0)
233: h(0)
234: h(0)
235: h(0)
236: h(0)
237: h(0)
238: h(0)
239: h(0)
240: h(0)
241: h(0)
242: h(0)
243: h(0)
244: h(0)
245: h(0)
246: h(0)
247: h(0)
248: h(0)
249: h(0)
250: h(0)
251: h(0)
252: h(0)
253: h(0)
254: h(0)
255: h(0)
Run with local histograms
0: h(0)
1: h(0)
2: h(0)
3: h(0)
4: h(0)
5: h(0)
6: h(0)
7: h(0)
8: h(0)
9: h(0)
10: h(29)
11: h(0)
12: h(0)
13: h(29)
14: h(0)
15: h(0)
16: h(0)
17: h(0)
18: h(0)
19: h(0)
20: h(0)
21: h(0)
22: h(0)
23: h(0)
24: h(0)
25: h(0)
26: h(0)
27: h(0)
28: h(0)
29: h(0)
30: h(0)
31: h(0)
32: h(0)
33: h(0)
34: h(0)
35: h(0)
36: h(0)
37: h(0)
38: h(0)
39: h(0)
40: h(0)
41: h(0)
42: h(0)
43: h(0)
44: h(0)
45: h(0)
46: h(0)
47: h(0)
48: h(29)
49: h(13)
50: h(11)
51: h(3)
52: h(3)
53: h(7)
54: h(2)
55: h(2)
56: h(2)
57: h(2)
58: h(0)
59: h(0)
60: h(0)
61: h(0)
62: h(0)
63: h(0)
64: h(0)
65: h(0)
66: h(0)
67: h(0)
68: h(0)
69: h(0)
70: h(0)
71: h(0)
72: h(0)
73: h(0)
74: h(0)
75: h(0)
76: h(0)
77: h(0)
78: h(0)
79: h(0)
80: h(0)
81: h(0)
82: h(0)
83: h(0)
84: h(0)
85: h(0)
86: h(0)
87: h(0)
88: h(0)
89: h(0)
90: h(0)
91: h(0)
92: h(0)
93: h(0)
94: h(0)
95: h(0)
96: h(0)
97: h(0)
98: h(0)
99: h(0)
100: h(0)
101: h(0)
102: h(0)
103: h(0)
104: h(0)
105: h(0)
106: h(0)
107: h(0)
108: h(0)
109: h(0)
110: h(0)
111: h(0)
112: h(0)
113: h(0)
114: h(0)
115: h(0)
116: h(0)
117: h(0)
118: h(0)
119: h(0)
120: h(0)
121: h(0)
122: h(0)
123: h(0)
124: h(0)
125: h(0)
126: h(0)
127: h(0)
128: h(0)
129: h(0)
130: h(0)
131: h(0)
132: h(0)
133: h(0)
134: h(0)
135: h(0)
136: h(0)
137: h(0)
138: h(0)
139: h(0)
140: h(0)
141: h(0)
142: h(0)
143: h(0)
144: h(0)
145: h(0)
146: h(0)
147: h(0)
148: h(0)
149: h(0)
150: h(0)
151: h(0)
152: h(0)
153: h(0)
154: h(0)
155: h(0)
156: h(0)
157: h(0)
158: h(0)
159: h(0)
160: h(0)
161: h(0)
162: h(0)
163: h(0)
164: h(0)
165: h(0)
166: h(0)
167: h(0)
168: h(0)
169: h(0)
170: h(0)
171: h(0)
172: h(0)
173: h(0)
174: h(0)
175: h(0)
176: h(0)
177: h(0)
178: h(0)
179: h(0)
180: h(0)
181: h(0)
182: h(0)
183: h(0)
184: h(0)
185: h(0)
186: h(0)
187: h(0)
188: h(0)
189: h(0)
190: h(0)
191: h(0)
192: h(0)
193: h(0)
194: h(0)
195: h(0)
196: h(0)
197: h(0)
198: h(0)
199: h(0)
200: h(0)
201: h(0)
202: h(0)
203: h(0)
204: h(0)
205: h(0)
206: h(0)
207: h(0)
208: h(0)
209: h(0)
210: h(0)
211: h(0)
212: h(0)
213: h(0)
214: h(0)
215: h(0)
216: h(0)
217: h(0)
218: h(0)
219: h(0)
220: h(0)
221: h(0)
222: h(0)
223: h(0)
224: h(0)
225: h(0)
226: h(0)
227: h(0)
228: h(0)
229: h(0)
230: h(0)
231: h(0)
232: h(0)
233: h(0)
234: h(0)
235: h(0)
236: h(0)
237: h(0)
238: h(0)
239: h(0)
240: h(0)
241: h(0)
242: h(0)
243: h(0)
244: h(0)
245: h(0)
246: h(0)
247: h(0)
248: h(0)
249: h(0)
250: h(0)
251: h(0)
252: h(0)
253: h(0)
254: h(0)
255: h(0)

H:\Documents\CS420\CS420Lab02Sadat\x64\Debug\CS420Lab02Sadat.exe (process 32568) exited with code 0.
Press any key to close this window . . .


